Date,Open,High,Low,Close,Vol,
1/31/17 1700,52.76,52.80,52.74,52.80,75,
1/31/17 1705,52.79,52.79,52.75,52.75,23,
1/31/17 1710,52.76,52.79,52.75,52.79,25,
1/31/17 1715,52.78,52.79,52.75,52.77,26,
1/31/17 1720,52.77,52.80,52.76,52.77,19,
1/31/17 1725,52.78,52.78,52.76,52.78,7,
1/31/17 1730,52.78,52.78,52.77,52.78,5,
1/31/17 1735,52.78,52.79,52.77,52.79,10,
1/31/17 1740,52.79,52.82,52.78,52.81,19,
1/31/17 1745,52.81,52.81,52.78,52.80,12,
1/31/17 1750,52.79,52.79,52.78,52.79,7,
1/31/17 1755,52.78,52.79,52.78,52.79,4,
1/31/17 1800,52.79,52.80,52.77,52.79,17,
1/31/17 1805,52.80,52.81,52.78,52.79,10,
1/31/17 1810,52.80,52.80,52.78,52.79,6,
1/31/17 1815,52.79,52.80,52.77,52.77,7,
1/31/17 1820,52.77,52.79,52.77,52.79,14,
1/31/17 1825,52.78,52.79,52.75,52.75,18,
1/31/17 1830,52.76,52.77,52.75,52.76,25,
1/31/17 1835,52.76,52.77,52.76,52.77,10,
1/31/17 1840,52.78,52.78,52.76,52.76,7,
1/31/17 1845,52.76,52.78,52.76,52.77,4,
1/31/17 1850,52.78,52.78,52.78,52.78,1,
1/31/17 1855,52.77,52.79,52.77,52.77,15,
1/31/17 1900,52.77,52.78,52.71,52.72,48,
1/31/17 1905,52.73,52.73,52.70,52.72,34,
1/31/17 1910,52.71,52.73,52.70,52.73,13,
1/31/17 1915,52.73,52.75,52.72,52.73,15,
1/31/17 1920,52.72,52.76,52.72,52.74,23,
1/31/17 1925,52.73,52.75,52.73,52.75,25,
1/31/17 1930,52.75,52.75,52.73,52.74,12,
1/31/17 1935,52.73,52.74,52.73,52.73,13,
1/31/17 1940,52.73,52.74,52.73,52.74,8,
1/31/17 1945,52.73,52.74,52.72,52.72,10,
1/31/17 1950,52.72,52.73,52.72,52.72,5,
1/31/17 1955,52.72,52.72,52.71,52.71,12,
1/31/17 2000,52.72,52.72,52.71,52.72,9,
1/31/17 2005,52.72,52.73,52.71,52.71,18,
1/31/17 2010,52.71,52.72,52.69,52.71,12,
1/31/17 2015,52.71,52.72,52.71,52.71,5,
1/31/17 2020,52.72,52.73,52.71,52.72,9,
1/31/17 2025,52.72,52.73,52.70,52.70,9,
1/31/17 2030,52.69,52.70,52.68,52.68,28,
1/31/17 2035,52.68,52.69,52.68,52.69,20,
1/31/17 2040,52.69,52.70,52.68,52.69,7,
1/31/17 2045,52.69,52.70,52.66,52.69,23,
1/31/17 2050,52.69,52.69,52.68,52.68,14,
1/31/17 2055,52.67,52.68,52.65,52.66,16,
1/31/17 2100,52.65,52.67,52.64,52.65,23,
1/31/17 2105,52.65,52.66,52.65,52.65,19,
1/31/17 2110,52.65,52.66,52.65,52.66,10,
1/31/17 2115,52.66,52.67,52.65,52.66,13,
1/31/17 2120,52.65,52.67,52.65,52.66,10,
1/31/17 2125,52.67,52.67,52.66,52.67,15,
1/31/17 2130,52.67,52.68,52.66,52.68,18,
1/31/17 2135,52.67,52.68,52.65,52.67,23,
1/31/17 2140,52.67,52.68,52.67,52.67,13,
1/31/17 2145,52.68,52.68,52.67,52.68,13,
1/31/17 2150,52.68,52.69,52.67,52.69,12,
1/31/17 2155,52.69,52.70,52.68,52.70,8,
1/31/17 2200,52.70,52.71,52.69,52.70,17,
1/31/17 2205,52.70,52.71,52.70,52.70,9,
1/31/17 2210,52.69,52.70,52.69,52.70,4,
1/31/17 2215,52.70,52.73,52.70,52.72,29,
1/31/17 2220,52.72,52.74,52.72,52.72,13,
1/31/17 2225,52.72,52.73,52.71,52.71,8,
1/31/17 2230,52.72,52.73,52.71,52.73,18,
1/31/17 2235,52.73,52.74,52.72,52.73,9,
1/31/17 2240,52.72,52.73,52.72,52.72,11,
1/31/17 2245,52.72,52.73,52.72,52.72,11,
1/31/17 2250,52.72,52.73,52.72,52.72,7,
1/31/17 2255,52.72,52.73,52.71,52.71,12,
1/31/17 2300,52.72,52.72,52.71,52.72,9,
1/31/17 2305,52.72,52.73,52.72,52.72,15,
1/31/17 2310,52.72,52.73,52.72,52.73,10,
1/31/17 2315,52.73,52.73,52.71,52.71,9,
1/31/17 2320,52.71,52.71,52.69,52.69,3,
1/31/17 2325,52.69,52.70,52.69,52.70,4,
1/31/17 2330,52.70,52.72,52.70,52.71,14,
